epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.7414,1.17763,1.03855,1.13067,0.78624,0.67141,0.74911,0.44377,1.35424,1.29164,1.3134,0.00167528,0.00167528,0.00167528
43,85.6799,1.13621,0.98959,1.08347,0.77144,0.6697,0.72334,0.42969,1.28807,1.21728,1.31942,0.00166736,0.00166736,0.00166736
44,87.6839,1.12901,1.00462,1.10394,0.75741,0.69385,0.7328,0.42751,1.41333,1.23095,1.36307,0.00165944,0.00165944,0.00165944
45,89.6039,1.14821,0.99559,1.11046,0.87076,0.62698,0.73301,0.43195,1.41226,1.24912,1.34155,0.00165152,0.00165152,0.00165152
46,91.5511,1.16379,1.01108,1.12063,0.79421,0.63492,0.74791,0.46168,1.33061,1.18222,1.28501,0.0016436,0.0016436,0.0016436
47,93.4981,1.09935,0.96344,1.08986,0.65939,0.70635,0.7073,0.44881,1.23162,1.19206,1.26844,0.00163568,0.00163568,0.00163568
48,95.5401,1.12427,0.95907,1.08203,0.79364,0.69048,0.73954,0.46182,1.28445,1.13691,1.29007,0.00162776,0.00162776,0.00162776
49,97.5446,1.07122,0.91545,1.07197,0.80456,0.72222,0.7289,0.43078,1.36655,1.25447,1.31758,0.00161984,0.00161984,0.00161984
50,99.4946,1.12284,0.92504,1.08109,0.84138,0.67356,0.77483,0.44994,1.33719,1.09869,1.28055,0.00161192,0.00161192,0.00161192
51,101.437,1.10368,0.94561,1.07569,0.78874,0.69048,0.74707,0.46426,1.32319,1.19374,1.31113,0.001604,0.001604,0.001604
52,103.346,1.12706,0.98097,1.08462,0.82699,0.7381,0.77741,0.47375,1.28906,1.05716,1.26667,0.00159608,0.00159608,0.00159608
53,105.24,1.0755,0.96041,1.08309,0.79378,0.68254,0.72545,0.44602,1.38248,1.22708,1.34761,0.00158816,0.00158816,0.00158816
54,107.199,1.05727,0.90886,1.06267,0.79573,0.74201,0.78208,0.48288,1.32191,1.02429,1.29256,0.00158024,0.00158024,0.00158024
55,109.147,1.06626,0.92566,1.0892,0.81464,0.7325,0.78018,0.49086,1.30754,1.05942,1.30319,0.00157232,0.00157232,0.00157232
56,111.105,1.05898,0.88501,1.06947,0.80956,0.72222,0.77182,0.48318,1.2936,1.0875,1.22371,0.0015644,0.0015644,0.0015644
57,113.029,1.10168,0.90495,1.10351,0.80002,0.71429,0.74828,0.46138,1.31488,1.20802,1.27727,0.00155648,0.00155648,0.00155648
58,114.979,1.09323,0.8903,1.06432,0.86756,0.68254,0.75201,0.4608,1.31824,1.14656,1.27478,0.00154856,0.00154856,0.00154856
59,116.9,1.09463,0.91027,1.07666,0.87211,0.69048,0.76548,0.45927,1.3379,1.11805,1.29927,0.00154064,0.00154064,0.00154064
60,118.857,1.04213,0.89144,1.05954,0.82294,0.54762,0.6847,0.42972,1.27795,1.24328,1.28293,0.00153272,0.00153272,0.00153272
61,120.886,1.04642,0.90373,1.07316,0.81871,0.71683,0.78902,0.50698,1.23915,1.03852,1.22937,0.0015248,0.0015248,0.0015248
62,122.864,1.02233,0.90369,1.05589,0.77147,0.66982,0.70904,0.44639,1.37614,1.20974,1.28587,0.00151688,0.00151688,0.00151688
63,124.841,1.03385,0.87618,1.05195,0.75957,0.78571,0.7899,0.47756,1.30286,1.06546,1.25606,0.00150896,0.00150896,0.00150896
64,126.784,1.04664,0.8801,1.06374,0.86175,0.74603,0.78254,0.48064,1.25953,1.04167,1.23963,0.00150104,0.00150104,0.00150104
65,128.726,1.04474,0.87867,1.06633,0.83982,0.7074,0.78265,0.49854,1.24173,1.06221,1.21608,0.00149312,0.00149312,0.00149312
66,130.667,1.04124,0.87509,1.0524,0.82402,0.72222,0.76748,0.50168,1.24992,1.02968,1.24892,0.0014852,0.0014852,0.0014852
67,132.651,1.01006,0.84813,1.04745,0.84159,0.71683,0.77527,0.50592,1.24591,1.01399,1.2475,0.00147728,0.00147728,0.00147728
68,134.593,1.04308,0.88124,1.0486,0.81435,0.7311,0.75796,0.48894,1.19911,1.0549,1.21486,0.00146936,0.00146936,0.00146936
69,136.512,1.00569,0.83789,1.05054,0.77749,0.76984,0.7591,0.4755,1.292,1.12302,1.24923,0.00146144,0.00146144,0.00146144
70,138.489,1.002,0.83677,1.04584,0.77238,0.71429,0.75817,0.46113,1.31516,1.04752,1.27948,0.00145352,0.00145352,0.00145352
71,140.425,1.0447,0.86145,1.05242,0.85743,0.76368,0.80456,0.48969,1.30594,1.01776,1.27797,0.0014456,0.0014456,0.0014456
72,142.491,1.07268,0.86955,1.07753,0.82433,0.74487,0.79848,0.49824,1.25568,1.00022,1.30773,0.00143768,0.00143768,0.00143768
73,144.434,1.01996,0.85401,1.05941,0.83699,0.6928,0.75113,0.47227,1.27886,1.11332,1.30222,0.00142976,0.00142976,0.00142976
74,146.361,0.99739,0.82186,1.0256,0.86116,0.63492,0.73516,0.44936,1.3087,1.18173,1.2966,0.00142184,0.00142184,0.00142184
75,148.325,0.97823,0.81442,1.02822,0.82996,0.68254,0.72776,0.45911,1.27395,1.11928,1.29452,0.00141392,0.00141392,0.00141392
76,150.327,0.99988,0.79966,1.03721,0.8896,0.7381,0.78711,0.49886,1.25813,1.05783,1.29122,0.001406,0.001406,0.001406
77,152.224,0.94088,0.76934,1.01877,0.87029,0.7381,0.77319,0.49574,1.2798,1.05557,1.31646,0.00139808,0.00139808,0.00139808
78,154.18,0.94471,0.79393,1.03777,0.83318,0.73016,0.77743,0.49283,1.25222,1.05685,1.28197,0.00139016,0.00139016,0.00139016
79,156.106,1.00153,0.79006,1.03849,0.81798,0.74603,0.75335,0.46215,1.33731,1.0323,1.31629,0.00138224,0.00138224,0.00138224
80,158.1,0.97212,0.75215,1.02666,0.76326,0.7619,0.7788,0.49156,1.2355,1.06648,1.24321,0.00137432,0.00137432,0.00137432
81,160.067,0.94353,0.76476,1.02925,0.84666,0.74603,0.78244,0.5004,1.25717,0.99978,1.26008,0.0013664,0.0013664,0.0013664
82,161.979,1.00435,0.79899,1.0294,0.92308,0.73016,0.82028,0.4917,1.29363,1.01686,1.3039,0.00135848,0.00135848,0.00135848
83,163.914,0.97301,0.75856,1.01303,0.9282,0.71821,0.8022,0.5143,1.23307,1.01478,1.23944,0.00135056,0.00135056,0.00135056
84,165.975,0.95527,0.76457,1.02778,0.776,0.79734,0.82366,0.5407,1.19419,0.97429,1.21603,0.00134264,0.00134264,0.00134264
85,167.937,0.96642,0.77364,1.0244,0.81879,0.77778,0.80552,0.50975,1.25157,0.93505,1.25196,0.00133472,0.00133472,0.00133472
86,169.924,0.94786,0.7677,1.01383,0.8197,0.72164,0.78544,0.49256,1.32304,1.09958,1.27524,0.0013268,0.0013268,0.0013268
87,171.882,0.95688,0.75813,1.01102,0.8857,0.7619,0.80355,0.48972,1.28924,0.9869,1.32519,0.00131888,0.00131888,0.00131888
88,173.841,0.95531,0.74523,1.01837,0.87808,0.7431,0.81157,0.51028,1.2429,0.9575,1.24929,0.00131096,0.00131096,0.00131096
89,175.75,0.92823,0.7382,1.0087,0.89096,0.70635,0.80363,0.52216,1.21449,0.96633,1.25322,0.00130304,0.00130304,0.00130304
90,177.741,0.96008,0.7658,1.02685,0.87422,0.7619,0.81799,0.53552,1.22854,0.90326,1.25236,0.00129512,0.00129512,0.00129512
91,179.698,0.93393,0.75141,0.99968,0.78699,0.77778,0.77124,0.49435,1.23303,1.07959,1.25132,0.0012872,0.0012872,0.0012872
92,181.627,0.93095,0.71949,1.01416,0.84486,0.74603,0.80709,0.5004,1.27458,0.94505,1.31362,0.00127928,0.00127928,0.00127928
93,183.542,0.93761,0.73865,1.00843,0.80355,0.7619,0.78541,0.47591,1.31906,1.02981,1.31957,0.00127136,0.00127136,0.00127136
94,185.49,0.96509,0.74505,1.00768,0.78587,0.78644,0.77865,0.49821,1.29115,1.04238,1.27995,0.00126344,0.00126344,0.00126344
95,187.502,0.92271,0.76951,0.98312,0.81951,0.75677,0.80437,0.51569,1.2763,1.06331,1.27514,0.00125552,0.00125552,0.00125552
96,189.568,0.9057,0.7342,1.00032,0.80477,0.8254,0.81659,0.5252,1.25019,0.94489,1.25713,0.0012476,0.0012476,0.0012476
97,191.496,0.94869,0.76661,1.01892,0.80744,0.73016,0.7796,0.50087,1.30417,1.05345,1.2782,0.00123968,0.00123968,0.00123968
98,193.409,0.95921,0.79399,1.00612,0.82957,0.75397,0.7817,0.50951,1.23268,0.96741,1.2602,0.00123176,0.00123176,0.00123176
99,195.389,0.92623,0.70893,0.99148,0.90472,0.75364,0.80962,0.51614,1.26414,0.98684,1.28534,0.00122384,0.00122384,0.00122384
100,197.341,0.89925,0.71667,0.99586,0.8441,0.70635,0.77354,0.50661,1.22699,1.06643,1.24801,0.00121592,0.00121592,0.00121592
101,199.27,0.85206,0.68548,0.97916,0.83357,0.79499,0.83652,0.52392,1.22853,0.93697,1.27132,0.001208,0.001208,0.001208
102,201.197,0.88291,0.67034,0.97479,0.83713,0.8254,0.83453,0.53559,1.26471,0.94624,1.29421,0.00120008,0.00120008,0.00120008
103,203.12,0.88585,0.69302,0.96912,0.84933,0.74603,0.80289,0.52981,1.18654,0.94577,1.21266,0.00119216,0.00119216,0.00119216
104,205.065,0.86661,0.66653,0.9797,0.82557,0.84921,0.83369,0.55403,1.19339,0.97435,1.23005,0.00118424,0.00118424,0.00118424
105,207.013,0.88787,0.67266,0.98759,0.83638,0.77778,0.8027,0.53705,1.23381,0.947,1.23765,0.00117632,0.00117632,0.00117632
106,209.032,0.86079,0.65902,0.98035,0.85401,0.76984,0.81044,0.54564,1.19217,0.96497,1.21037,0.0011684,0.0011684,0.0011684
107,210.998,0.90888,0.7021,0.98408,0.89563,0.74921,0.81029,0.53137,1.23508,0.92816,1.25117,0.00116048,0.00116048,0.00116048
108,212.925,0.89547,0.71062,0.99143,0.8166,0.79365,0.81057,0.50886,1.2125,0.95347,1.19964,0.00115256,0.00115256,0.00115256
109,214.983,0.8772,0.72678,0.98314,0.88044,0.77778,0.82983,0.51997,1.19886,0.94203,1.22893,0.00114464,0.00114464,0.00114464
110,217.043,0.87706,0.69376,0.97421,0.88461,0.69048,0.78107,0.51143,1.18683,1.0413,1.25186,0.00113672,0.00113672,0.00113672
111,219.003,0.87411,0.69631,0.98304,0.83437,0.75397,0.8082,0.53463,1.10372,0.94734,1.1854,0.0011288,0.0011288,0.0011288
112,220.948,0.91338,0.69768,0.99743,0.85296,0.78571,0.80498,0.53159,1.18209,0.95625,1.27058,0.00112088,0.00112088,0.00112088
113,222.848,0.86527,0.6957,0.98419,0.92006,0.73081,0.81363,0.52523,1.2001,0.92876,1.2547,0.00111296,0.00111296,0.00111296
114,224.803,0.88165,0.67347,0.98663,0.86224,0.76984,0.81426,0.53291,1.20687,0.89556,1.24311,0.00110504,0.00110504,0.00110504
115,226.803,0.86032,0.66166,0.9851,0.85535,0.78571,0.82564,0.53301,1.18227,0.89413,1.22499,0.00109712,0.00109712,0.00109712
116,228.74,0.89247,0.66962,0.98554,0.88539,0.77778,0.83879,0.56731,1.12616,0.85642,1.19958,0.0010892,0.0010892,0.0010892
117,230.68,0.83931,0.63897,0.96402,0.84143,0.75805,0.81372,0.52875,1.21451,0.92888,1.24816,0.00108128,0.00108128,0.00108128
118,232.586,0.87133,0.68036,0.99337,0.88822,0.75677,0.81828,0.53153,1.21346,0.89162,1.24304,0.00107336,0.00107336,0.00107336
119,234.491,0.85507,0.66482,0.97646,0.873,0.75397,0.80709,0.53209,1.2274,0.9066,1.23926,0.00106544,0.00106544,0.00106544
120,236.623,0.88718,0.64944,0.97224,0.85455,0.81746,0.81609,0.54246,1.18334,0.91748,1.25795,0.00105752,0.00105752,0.00105752
121,238.557,0.83425,0.65972,0.97254,0.87039,0.79944,0.8206,0.52946,1.18571,1.00298,1.25652,0.0010496,0.0010496,0.0010496
122,240.503,0.86459,0.65871,0.99567,0.89282,0.72725,0.82544,0.54211,1.21221,0.95132,1.23014,0.00104168,0.00104168,0.00104168
123,242.515,0.86112,0.66659,0.97375,0.87566,0.72661,0.79998,0.51972,1.22844,0.94246,1.23506,0.00103376,0.00103376,0.00103376
124,244.538,0.85439,0.65793,0.97381,0.89046,0.77778,0.82953,0.52834,1.21192,0.98149,1.21811,0.00102584,0.00102584,0.00102584
125,246.585,0.86348,0.65544,0.98288,0.92119,0.79365,0.84701,0.54328,1.19097,0.88187,1.20009,0.00101792,0.00101792,0.00101792
126,248.619,0.85475,0.65137,0.96665,0.91133,0.76984,0.80346,0.52762,1.2086,1.03565,1.21946,0.00101,0.00101,0.00101
127,250.593,0.83238,0.6493,0.97746,0.87377,0.7381,0.7953,0.51877,1.2048,0.94357,1.21887,0.00100208,0.00100208,0.00100208
128,252.568,0.80679,0.64187,0.97291,0.88234,0.77372,0.80606,0.51905,1.23562,0.86494,1.2456,0.00099416,0.00099416,0.00099416
129,254.514,0.85766,0.66032,0.98834,0.89311,0.7958,0.80565,0.49718,1.30194,0.95842,1.29486,0.00098624,0.00098624,0.00098624
